"ID" "RESPOND" "AGE" "INCOME" "SEX" "MARRIED" "FICO" "OWNHOME" "LOC" "CLIMATE" "BUY6" "BUY12" "BUY18" "VALUE24" "ORGSRC" "DISCBUY" "RETURN24" "COA6" "C1" "C2" "C3" "C4" "C5" "C6" "C7" "PURCHTOT"
"001371057" 0 71 67 "M" 1 719 0 "A" "10" 1 1 1 318 "O" 1 0 0 0 0 0 0 0 0 0 0
"002093270" 0 53 72 "M" 1 751 0 "A" "10" 0 0 0 83 "R" 0 0 0 0 0 0 0 0 0 0 0
"002783726" 0 53 70 "F" 1 725 0 "A" "10" 1 1 1 265 "D" 0 0 0 0 0 0 0 0 0 0 0
"010800860" 0 45 56 "F" 0 684 0 "A" "10" 0 0 1 448 "O" 1 0 0 0 0 0 0 0 0 0 0
"014577797" 0 32 66 "F" 0 651 0 "A" "10" 0 0 0 161 "R" 0 0 0 0 0 0 0 0 0 0 0
"015884859" 0 35 48 "F" 0 691 1 "A" "10" 0 0 0 250 "C" 0 1 0 0 0 0 0 0 0 0 0
"017131376" 0 43 49 "F" 0 694 1 "A" "10" 0 0 0 194 "R" 0 1 0 0 0 0 0 0 0 0 0
"018674857" 0 39 64 "M" 0 659 0 "A" "10" 0 0 0 446 "D" 0 0 0 0 0 0 0 0 0 0 0
"019417226" 0 66 65 "M" 0 692 0 "A" "10" 0 0 0 214 "O" 1 0 0 0 0 0 0 0 0 0 0
"021786286" 0 NA NA "" NA 707 NA "A" "10" 0 0 0 198 "O" 0 0 0 0 0 0 0 0 0 0 0
"026897464" 0 52 58 "M" 1 705 1 "A" "10" 0 1 2 216 "C" 0 0 0 0 0 0 0 0 0 0 0
"028908796" 0 29 40 "F" 0 693 0 "A" "10" 0 0 0 118 "C" 0 0 0 0 0 0 0 0 0 0 0
"031053878" 0 48 57 "F" 0 698 0 "A" "10" 0 0 0 226 "O" 0 1 0 0 0 0 0 0 0 0 0
"032620343" 1 67 33 "M" 0 713 0 "A" "10" 0 0 0 145 "U" 0 0 0 0 11 0 0 0 64 11 86
"033161772" 0 44 17 "M" 1 751 0 "A" "10" 1 1 1 494 "C" 0 0 0 0 0 0 0 0 0 0 0
"034909540" 1 59 40 "F" 1 703 0 "A" "10" 0 0 1 485 "" 0 0 0 10 0 53 40 41 66 0 210
"037618388" 0 47 71 "M" 1 680 0 "A" "10" 0 0 0 258 "D" 0 0 0 0 0 0 0 0 0 0 0
"042722465" 0 49 25 "F" 1 705 1 "A" "10" 0 0 0 230 "R" 1 1 0 0 0 0 0 0 0 0 0
"043443115" 0 36 51 "M" 0 610 0 "A" "10" 0 0 0 189 "O" 1 0 0 0 0 0 0 0 0 0 0
"051748064" 0 23 52 "F" 1 670 0 "A" "10" 0 0 0 412 "C" 0 0 0 0 0 0 0 0 0 0 0
"055734274" 1 58 38 "M" 1 686 0 "A" "10" 1 1 1 499 "" 0 0 0 7 0 9 0 8 85 19 128
"055789810" 0 50 56 "M" 1 733 0 "A" "10" 0 0 0 107 "D" 0 0 0 0 0 0 0 0 0 0 0
"055850946" 0 39 54 "M" 0 691 0 "A" "10" 0 1 1 228 "U" 0 0 0 0 0 0 0 0 0 0 0
"059289533" 0 63 29 "M" 1 714 0 "A" "10" 0 0 0 162 "R" 0 0 0 0 0 0 0 0 0 0 0
"059972696" 0 47 63 "M" 1 732 0 "A" "10" 0 0 0 97 "D" 0 0 0 0 0 0 0 0 0 0 0
"060310775" 0 55 51 "F" 1 706 0 "A" "10" 0 0 1 283 "D" 0 0 0 0 0 0 0 0 0 0 0
"066067990" 0 45 61 "M" 0 635 0 "A" "10" 0 0 1 337 "D" 0 0 0 0 0 0 0 0 0 0 0
"066519221" 0 49 19 "F" 1 687 0 "A" "10" 0 0 1 349 "U" 1 0 0 0 0 0 0 0 0 0 0
"066565950" 0 48 66 "F" 0 654 0 "A" "10" 1 1 2 180 "O" 1 1 0 0 0 0 0 0 0 0 0
"066715668" 0 54 35 "F" 1 720 0 "A" "10" 0 0 0 76 "O" 0 0 0 0 0 0 0 0 0 0 0
"069934651" 0 42 31 "F" 0 688 0 "A" "10" 0 0 0 162 "D" 0 0 0 0 0 0 0 0 0 0 0
"071772074" 0 46 20 "M" 1 646 0 "A" "10" 0 0 0 256 "R" 0 0 0 0 0 0 0 0 0 0 0
"072520612" 0 60 67 "F" 1 691 0 "A" "10" 0 0 1 351 "O" 0 0 0 0 0 0 0 0 0 0 0
"073203849" 0 43 24 "F" 1 734 0 "A" "10" 0 0 0 128 "O" 0 0 0 0 0 0 0 0 0 0 0
"076669164" 0 56 45 "F" 1 717 0 "A" "10" 0 1 1 513 "D" 0 0 0 0 0 0 0 0 0 0 0
"077759410" 0 39 73 "M" 0 676 0 "A" "10" 0 0 0 66 "P" 0 0 0 0 0 0 0 0 0 0 0
"081523154" 0 49 30 "M" 1 673 0 "A" "10" 0 0 1 495 "U" 0 0 0 0 0 0 0 0 0 0 0
"082015409" 1 43 53 "M" 1 709 0 "A" "10" 0 0 0 113 "" 0 0 0 0 0 0 0 0 30 0 30
"085208557" 0 NA NA "" NA 727 NA "A" "10" 0 0 0 223 "O" 1 0 0 0 0 0 0 0 0 0 0
"088546953" 0 37 30 "F" 0 724 0 "A" "10" 1 1 1 325 "D" 0 0 0 0 0 0 0 0 0 0 0
"090026797" 0 48 41 "M" 1 657 0 "A" "10" 0 0 0 246 "D" 0 0 0 0 0 0 0 0 0 0 0
"090821763" 0 41 71 "F" 0 678 1 "A" "10" 0 0 0 404 "U" 0 0 0 0 0 0 0 0 0 0 0
"093512502" 0 39 56 "M" 0 738 0 "A" "10" 0 0 0 147 "P" 0 0 0 0 0 0 0 0 0 0 0
"094775972" 0 37 61 "M" 1 729 1 "A" "10" 0 0 0 247 "D" 0 0 0 0 0 0 0 0 0 0 0
"096323801" 0 42 58 "M" 1 744 0 "A" "10" 0 0 2 644 "O" 1 0 0 0 0 0 0 0 0 0 0
"096876992" 0 43 67 "M" 1 675 0 "A" "10" 0 1 1 230 "U" 0 0 0 0 0 0 0 0 0 0 0
"099326421" 0 39 53 "M" 0 659 0 "A" "10" 0 0 0 119 "U" 0 0 0 0 0 0 0 0 0 0 0
"100032020" 0 34 37 "F" 0 646 0 "A" "10" 0 0 0 201 "U" 1 0 0 0 0 0 0 0 0 0 0
"103751447" 0 NA NA "" NA 701 NA "A" "10" 0 0 0 243 "R" 0 0 0 0 0 0 0 0 0 0 0
"105150762" 0 41 66 "F" 1 688 0 "A" "10" 0 0 0 422 "O" 0 0 1 0 0 0 0 0 0 0 0
"105804945" 0 32 71 "F" 0 687 0 "A" "10" 0 0 0 143 "O" 0 0 0 0 0 0 0 0 0 0 0
"106671566" 0 59 43 "M" 1 693 1 "A" "10" 0 0 0 119 "O" 0 0 0 0 0 0 0 0 0 0 0
"107011138" 0 38 67 "M" 0 681 0 "A" "10" 0 0 0 191 "P" 0 0 0 0 0 0 0 0 0 0 0
"110076097" 0 NA NA "" NA 643 NA "A" "10" 0 1 1 464 "" 1 0 0 0 0 0 0 0 0 0 0
"111969422" 0 48 37 "F" 1 658 0 "A" "10" 1 1 1 165 "O" 0 0 0 0 0 0 0 0 0 0 0
