,filtered_word,filtered_freq
0,sense,nnp
1,sensibility,nnp
2,jane,nnp
3,austen,nnp
4,1811,cd
5,chapter,nnp
6,1,cd
7,family,nn
8,dashwood,nnp
9,long,rb
10,settled,vbn
11,sussex,nnp
12,estate,nn
13,wa,nn
14,large,jj
15,residence,nn
16,wa,nn
17,norland,nnp
18,park,nnp
19,centre,nn
20,property,nn
21,many,jj
22,generation,nn
23,lived,vbn
24,respectable,jj
25,manner,nn
26,engage,vb
27,general,jj
28,good,jj
29,opinion,nn
30,surrounding,jj
31,acquaintance,nn
32,late,jj
33,owner,nn
34,estate,nn
35,wa,vbz
36,single,jj
37,man,nn
38,lived,vbd
39,advanced,jj
40,age,nn
41,many,jj
42,year,nn
43,life,nn
44,constant,jj
45,companion,nn
46,housekeeper,nn
47,sister,nn
48,death,nn
49,happened,vbd
50,ten,cd
51,year,nn
52,produced,vbd
53,great,jj
54,alteration,nn
55,home,nn
56,supply,vb
57,loss,nn
58,invited,vbd
59,received,vbd
60,house,nn
61,family,nn
62,nephew,jj
63,mr.,nnp
64,henry,nnp
65,dashwood,nnp
66,legal,jj
67,inheritor,nn
68,norland,nnp
69,estate,nn
70,person,nn
71,intended,vbd
72,bequeath,vb
73,society,nn
74,nephew,nn
75,niece,nn
76,child,nn
77,old,jj
78,gentleman,nnp
79,'s,pos
80,day,nn
81,comfortably,rb
82,spent,vbn
83,attachment,nn
84,increased,vbn
85,constant,jj
86,attention,nn
87,mr.,nnp
88,mrs.,nnp
89,henry,nnp
90,dashwood,nnp
91,wish,nn
92,proceeded,vbd
93,merely,rb
94,interest,nn
95,goodness,nn
96,heart,nn
97,gave,vbd
98,every,dt
99,degree,nn
100,solid,jj
101,comfort,nn
102,age,nn
103,could,md
104,receive,vb
105,cheerfulness,nn
106,child,nn
107,added,vbd
108,relish,nn
109,existence,nn
110,former,jj
111,marriage,nn
112,mr.,nnp
113,henry,nnp
114,dashwood,nnp
115,one,cd
116,son,nn
117,present,jj
118,lady,nn
119,three,cd
120,daughter,nn
121,son,nn
122,steady,jj
123,respectable,jj
124,young,jj
125,man,nn
126,wa,wp
127,amply,rb
128,provided,vbn
129,fortune,nn
130,mother,nn
131,large,jj
132,half,nn
133,devolved,vbd
134,coming,nn
135,age,nn
136,marriage,nn
137,likewise,nn
138,happened,vbd
139,soon,rb
140,afterwards,nns
141,added,vbd
142,wealth,nn
143,therefore,vb
144,succession,nn
145,norland,nnp
146,estate,nn
147,wa,nn
148,really,rb
149,important,jj
150,sister,nn
151,fortune,nn
152,independent,jj
153,might,md
154,arise,vb
155,father,nn
156,'s,pos
157,inheriting,nn
158,property,nn
159,could,md
160,small,jj
161,mother,nn
162,nothing,nn
163,father,nn
164,seven,cd
165,thousand,cd
166,pound,nn
167,disposal,nn
168,remaining,vbg
169,moiety,nn
170,first,jj
171,wife,nn
172,'s,pos
173,fortune,nn
174,wa,nn
175,also,rb
176,secured,vbd
177,child,nn
178,life-interest,nn
179,old,jj
180,gentleman,nn
181,died,vbd
182,wa,vb
183,read,vb
184,like,in
185,almost,rb
186,every,dt
187,gave,vbd
188,much,jj
189,disappointment,nn
190,pleasure,nn
191,wa,vbd
192,neither,cc
193,unjust,jj
194,ungrateful,jj
195,leave,vb
196,estate,nn
197,nephew,nn
198,--,:
199,left,vbd
200,term,nn
201,destroyed,jj
202,half,pdt
203,value,nn
204,bequest,jjs
205,mr.,nnp
206,dashwood,nnp
207,wished,vbn
208,sake,nn
209,wife,nn
210,daughter,nn
211,son,nn
212,--,:
213,son,nn
214,son,nn
215,'s,pos
216,son,nn
217,child,nn
218,four,cd
219,year,nn
220,old,jj
221,wa,vbd
222,secured,vbn
223,way,nn
224,leave,vb
225,power,nn
226,providing,vbg
227,dear,jj
228,needed,vbd
229,provision,nn
230,charge,nn
231,estate,nn
